,lon,lat,Penetratable_Canopy_Cover,height_m,Plant_Area_Index,Height_Diversity,Foliage_Clumping,Gap_probability,canopy_cover_pct,Colour
248,-10.83869,7.735662752,0.962323844,25.02,3.702833176,3.028309822,1,0.156447142,0.841906488,red
249,-10.838385,7.736082497,0.973463893,27.81,3.987616539,3.276607275,1,0.135645941,0.862667084,red
250,-10.83808061,7.736502197,0.94983995,32.75,-9999,-9999,1,-9999,-9999,black
251,-10.83778296,7.736921249,0.968377352,27.62,2.959813356,3.247297525,1,0.227001041,0.771490276,red
252,-10.83748103,7.73734074,0.966725588,18.65,2.378913879,2.863962173,1,0.303679317,0.694961667,red
253,-10.83717744,7.737760412,0.958297551,22.77,3.798941851,2.99822998,1,0.149092942,0.849246323,red
254,-10.83687516,7.738179967,0.964176595,24.89,3.84742403,3.125968456,1,0.145515323,0.852816999,red
255,-10.83656975,7.738599847,0.952005982,13.27,4.106487751,2.426711321,1,0.127803802,0.870493948,red
256,-10.83626271,7.739019901,0.964799285,28.97,2.658776522,3.235230684,1,0.263952017,0.734611452,red
257,-10.83596735,7.739438815,0.968967378,21.04,3.58743906,2.932970285,1,0.16575788,0.832613945,red
258,-10.83566177,7.739858751,0.941018939,18.31,4.05242157,2.814564943,1,0.131312802,0.866991818,red
259,-10.83535258,7.740279055,0.947703063,23.88,2.937661648,3.139682293,1,0.229534239,0.768962085,red
260,-10.83505003,7.740698715,0.981170714,26.39,4.346796036,3.214362621,1,0.113307707,0.884961784,red
261,-10.83474948,7.741118188,0.963345408,26.95,3.377763748,3.088752747,1,0.1841169,0.814290822,red
262,-10.83445252,7.741537316,0.954368353,19.11,1.258632302,2.924185038,1,0.532300711,0.466786534,red
